chr	gene	NAGn	SRIn	Y_Zn
chr11	CTSD	5	5	5
chr1	CTSE	2	2	2
chr14	CTSG	2	2	2
chr9	CTSL2	2	2	2
chr9	CTSL3	4	4	4
chr4	CTSO	8	8	8
chr11	CTSW	2	2	2
chr20	CTSZ	4	4	4
chr11	CTTN	11	11	11
chr7	CTTNBP2	37	37	37
chr1	CTTNBP2NL	20	20	20
chr5	CTXN3	2	2	2
chr10	CUBN	99	99	99
chr17	CUEDC1	14	14	14
chr11	CUGBP1	6	6	6
chr10	CUGBP2	74	74	74
chr7	CUL1	19	19	19
chr10	CUL2	10	10	10
chr2	CUL3	13	13	13
chr13	CUL4A	3	3	3
chr23	CUL4B	6	6	6
chr11	CUL5	16	16	16
chr6	CUL7	3	3	3
chr10	CUTC	4	4	4
chr7	CUX1	43	43	43
chr12	CUX2	29	29	29
chr11	CWC15	3	3	3
chr10	CWF19L1	7	7	7
chr11	CWF19L2	24	24	24
chr16	CX3CL1	2	2	2
chr3	CX3CR1	6	6	6
chr21	CXADR	14	14	14
chr4	CXCL5	2	2	2
chr4	CXCL10	2	2	2
chr10	CXCL12	3	3	3
chr4	CXCL13	5	5	5
chr5	CXCL14	5	5	5
chr2	CXCR4	3	3	3
chr2	CXCR7	4	4	4
chr23	CXorf20	2	2	2
chr23	CXorf21	3	3	3
chr23	CXorf22	7	7	7
chr23	CXorf23	5	5	5
chr23	CXorf30	10	10	10
chr23	CXorf34	3	3	3
chr23	CXorf36	2	2	2
chr23	CXorf38	2	2	2
chr23	CXorf39	2	2	2
chr23	CXorf56	3	3	3
chr23	CXorf58	4	4	4
chr23	CXorf59	4	4	4
chr23	CXorf61	2	2	2
chr4	CXXC4	4	4	4
chr5	CXXC5	3	3	3
chr18	CYB5A	6	6	6
chr16	CYB5B	2	2	2
chr17	CYB5D2	4	4	4
chr1	CYB5R1	4	4	4
chr6	CYB5R4	9	9	9
chr17	CYB561	2	2	2
chr1	CYB561D1	2	2	2
chr11	CYBASC3	2	2	2
chr2	CYBRD1	5	5	5
chr5	CYFIP2	23	23	23
chr17	CYGB	5	5	5
chr8	CYHR1	3	3	3
chr9	CYLC2	5	5	5
chr16	CYLD	6	6	6
chr15	CYP1A1	2	2	2
chr15	CYP1A2	3	3	3
chr2	CYP1B1	4	4	4
chr19	CYP2A7	3	3	3
chr19	CYP2A13	2	2	2
chr19	CYP2B6	6	6	6
chr10	CYP2C8	13	13	13
chr10	CYP2C9	11	11	11
chr10	CYP2C18	5	5	5
chr10	CYP2C19	6	6	6
chr10	CYP2E1	3	3	3
chr19	CYP2F1	3	3	3
chr1	CYP2J2	4	4	4
chr11	CYP2R1	2	2	2
chr19	CYP2S1	2	2	2
chr7	CYP3A4	3	3	3
chr7	CYP3A5	2	2	2
chr7	CYP3A43	5	5	5
chr1	CYP4B1	3	3	3
chr19	CYP4F3	2	2	2
chr19	CYP4F8	5	5	5
chr19	CYP4F11	2	2	2
chr19	CYP4F12	6	6	6
chr19	CYP4F22	2	2	2
chr4	CYP4V2	6	6	6
chr1	CYP4X1	33	33	33
chr1	CYP4Z1	6	6	6
chr8	CYP7A1	2	2	2
chr8	CYP7B1	23	23	23
chr15	CYP11A1	2	2	2
chr8	CYP11B1	6	6	6
chr8	CYP11B2	3	3	3
chr10	CYP17A1	5	5	5
chr15	CYP19A1	7	7	7
chr2	CYP20A1	3	3	3
chr6	CYP21A2	3	3	3
chr2	CYP26B1	2	2	2
chr2	CYP27A1	2	2	2
chr2	CYP27C1	5	5	5
chr6	CYP39A1	15	15	15
chr14	CYP46A1	8	8	8
chr7	CYP51A1	2	2	2
chr2	CYS1	5	5	5
chr23	CYSLTR1	4	4	4
chr4	CYTL1	3	3	3
chr21	CYYR1	6	6	6
chr2	D2HGDH	7	7	7
chr4	D4S234E	4	4	4
chr14	DAAM1	10	10	10
chr6	DAAM2	26	26	26
chr1	DAB1	231	231	231
chr5	DAB2	10	10	10
chr9	DAB2IP	15	15	15
chr13	DACH1	66	66	66
chr23	DACH2	43	43	43
chr14	DACT1	3	3	3
chr6	DACT2	5	5	5
chr19	DACT3	3	3	3
chr14	DAD1	3	3	3
chr11	DAGLA	5	5	5
chr7	DAGLB	6	6	6
chr11	DAK	2	2	2
chr12	DAO	2	2	2
chr13	DAOA	5	5	5
chr5	DAP	12	12	12
chr1	DAP3	3	3	3
chr9	DAPK1	37	37	37
chr15	DAPK2	32	32	32
chr19	DAPK3	3	3	3
chr2	DAPL1	3	3	3
chr4	DAPP1	4	4	4
chr1	DARC	2	2	2
chr2	DARS	6	6	6
chr1	DARS2	4	4	4
chr19	DAZAP1	9	9	9
chr9	DBC1	32	32	32
chr7	DBF4	3	3	3
chr17	DBF4B	4	4	4
chr9	DBH	4	4	4
chr2	DBI	4	4	4
chr5	DBN1	3	3	3
chr16	DBNDD1	3	3	3
chr20	DBNDD2	2	2	2
chr19	DBP	6	6	6
chr3	DBR1	2	2	2
chr1	DBT	8	8	8
chr11	DBX1	2	2	2
chr12	DBX2	4	4	4
chr17	DCAKD	3	3	3
chr6	DCBLD1	9	9	9
chr3	DCBLD2	8	8	8
chr18	DCC	190	190	190
chr11	DCDC1	5	5	5
chr6	DCDC2	29	29	29
chr1	DCDC2B	2	2	2
chr11	DCHS1	6	6	6
chr4	DCHS2	17	17	17
chr4	DCK	4	4	4
chr13	DCLK1	44	44	44
chr4	DCLK2	8	8	8
chr3	DCLK3	10	10	10
chr10	DCLRE1A	3	3	3
chr10	DCLRE1C	6	6	6
chr12	DCN	3	3	3
chr3	DCP1A	2	2	2
chr12	DCP1B	12	12	12
chr5	DCP2	11	11	11
chr1	DCST1	4	4	4
chr1	DCST2	2	2	2
chr13	DCT	8	8	8
chr4	DCTD	3	3	3
chr2	DCTN1	4	4	4
chr5	DCTN4	8	8	8
chr8	DCTN6	4	4	4
chr3	DCUN1D1	12	12	12
chr13	DCUN1D2	3	3	3
chr16	DCUN1D3	3	3	3
chr11	DCUN1D5	9	9	9
chr23	DCX	5	5	5
chr19	DDA1	5	5	5
chr1	DDAH1	36	36	36
chr6	DDAH2	4	4	4
chr11	DDB1	7	7	7
chr7	DDC	21	21	21
chr8	DDEF1	36	36	36
chr2	DDEF2	30	30	30
chr1	DDEFL1	5	5	5
chr14	DDHD1	14	14	14
chr11	DDI1	2	2	2
chr1	DDI2	6	6	6
chr12	DDN	4	4	4
chr1	DDOST	2	2	2
chr6	DDR1	16	16	16
chr1	DDR2	14	14	14
chr2	DDX1	3	3	3
chr5	DDX4	5	5	5
chr11	DDX6	9	9	9
chr11	DDX10	15	15	15
chr12	DDX11	14	14	14
chr22	DDX17	3	3	3
chr16	DDX19A	5	5	5
chr16	DDX19B	4	4	4
chr1	DDX20	6	6	6
chr10	DDX21	5	5	5
chr12	DDX23	2	2	2
chr14	DDX24	8	8	8
chr11	DDX25	5	5	5
chr23	DDX26B	4	4	4
chr20	DDX27	5	5	5
chr16	DDX28	2	2	2
chr9	DDX31	18	18	18
chr19	DDX39	4	4	4
chr17	DDX42	3	3	3
chr6	DDX43	4	4	4
chr5	DDX46	7	7	7
chr12	DDX47	8	8	8
chr10	DDX50	6	6	6
chr12	DDX51	2	2	2
chr17	DDX52	9	9	9
chr12	DDX54	2	2	2
chr12	DDX55	6	6	6
chr9	DDX58	13	13	13
chr1	DDX59	4	4	4
chr4	DDX60	34	34	34
chr4	DDX60L	32	32	32
chr11	DEAF1	7	7	7
chr9	DEC1	68	68	68
chr8	DECR1	8	8	8
chr16	DECR2	5	5	5
chr1	DEDD	2	2	2
chr19	DEDD2	3	3	3
chr6	DEF6	7	7	7
chr16	DEF8	6	6	6
chr8	DEFA1	2	2	2
chr8	DEFA4	2	2	2
chr8	DEFB1	6	6	6
chr20	DEFB126	2	2	2
chr20	DEFB127	2	2	2
chr20	DEFB132	3	3	3
chr14	DEGS2	5	5	5
chr6	DEK	11	11	11
chr9	DENND1A	72	72	72
chr1	DENND1B	35	35	35
chr19	DENND1C	2	2	2
chr7	DENND2A	10	10	10
chr1	DENND2C	4	4	4
chr8	DENND3	17	17	17
chr15	DENND4A	5	5	5
chr9	DENND4C	3	3	3
chr12	DENR	4	4	4
chr1	DEPDC1	6	6	6
chr5	DEPDC1B	12	12	12
chr8	DEPDC2	47	47	47
chr22	DEPDC5	10	10	10
chr8	DEPDC6	32	32	32
chr11	DEPDC7	2	2	2
chr12	DERA	9	9	9
chr8	DERL1	6	6	6
chr17	DERL2	2	2	2
chr22	DERL3	2	2	2
chr16	DEXI	2	2	2
chr1	DFFA	2	2	2
chr1	DFFB	6	6	6
chr7	DFNA5	10	10	10
chr9	DFNB31	4	4	4
chr2	DFNB59	2	2	2
chr11	DGAT2	7	7	7
chr23	DGAT2L3	2	2	2
chr23	DGAT2L6	6	6	6
chr22	DGCR2	27	27	27
chr22	DGCR6	2	2	2
chr22	DGCR8	5	5	5
chr12	DGKA	2	2	2
chr7	DGKB	129	129	129
chr2	DGKD	12	12	12
chr17	DGKE	3	3	3
chr3	DGKG	34	34	34
chr13	DGKH	13	13	13
chr7	DGKI	61	61	61
chr23	DGKK	10	10	10
chr11	DGKZ	2	2	2
chr11	DHCR7	3	3	3
chr1	DHCR24	10	10	10
chr1	DHDDS	2	2	2
chr19	DHDH	3	3	3
chr5	DHFR	6	6	6
chr12	DHH	3	3	3
chr16	DHODH	2	2	2
chr14	DHRS1	2	2	2
chr1	DHRS3	8	8	8
chr14	DHRS4	3	3	3
chr14	DHRS4L2	2	2	2
chr14	DHRS7	5	5	5
chr17	DHRS7B	6	6	6
chr17	DHRS7C	3	3	3
chr2	DHRS9	3	3	3
chr13	DHRS12	8	8	8
chr10	DHTKD1	4	4	4
chr17	DHX8	13	13	13
chr1	DHX9	7	7	7
chr4	DHX15	18	18	18
chr6	DHX16	14	14	14
chr5	DHX29	6	6	6
chr3	DHX30	4	4	4
chr10	DHX32	2	2	2
chr19	DHX34	3	3	3
chr20	DHX35	8	8	8
chr3	DHX36	6	6	6
chr16	DHX38	3	3	3
chr17	DHX40	4	4	4
chr2	DHX57	12	12	12
chr17	DHX58	2	2	2
chr12	DIABLO	3	3	3
chr5	DIAPH1	9	9	9
chr23	DIAPH2	52	52	52
chr13	DIAPH3	69	69	69
chr14	DICER1	3	3	3
chr20	DIDO1	22	22	22
chr14	DIO3	2	2	2
chr21	DIP2A	20	20	20
chr12	DIP2B	20	20	20
chr10	DIP2C	42	42	42
chr19	DIRAS1	2	2	2
chr2	DIRC1	2	2	2
chr3	DIRC2	14	14	14
chr2	DIS3L2	42	42	42
chr1	DISC1	45	45	45
chr1	DISP1	4	4	4
chr11	DIXDC1	9	9	9
chr7	DKFZP434B0335	3	3	3
chr2	DKFZp547H025	6	6	6
chr4	DKFZP564O0823	6	6	6
chr11	DKFZP566E164	2	2	2
chr11	DKFZP586H2123	23	23	23
chr3	DKFZp667G2110	15	15	15
chr4	DKK2	20	20	20
chr11	DKK3	5	5	5
chr8	DKK4	4	4	4
chr19	DKKL1	2	2	2
chr8	DLC1	103	103	103
chr7	DLD	6	6	6
chr3	DLEC1	10	10	10
chr13	DLEU7	14	14	14
chr11	DLG2	232	232	232
chr23	DLG3	3	3	3
chr17	DLG4	6	6	6
chr10	DLG5	37	37	37
chr18	DLGAP1	82	82	82
chr8	DLGAP2	44	44	44
chr1	DLGAP3	9	9	9
chr20	DLGAP4	19	19	19
chr14	DLGAP5	5	5	5
chr14	DLK1	2	2	2
chr6	DLL1	3	3	3
chr15	DLL4	3	3	3
chr14	DLST	2	2	2
chr2	DLX2	2	2	2
chr22	DMC1	20	20	20
chr23	DMD	374	374	374
chr5	DMGDH	12	12	12
chr19	DMKN	4	4	4
chr15	DMN	7	7	7
chr4	DMP1	7	7	7
chr19	DMPK	2	2	2
chr9	DMRT1	35	35	35
chr9	DMRT2	5	5	5
chr9	DMRT3	5	5	5
chr7	DMTF1	7	7	7
chr19	DMWD	2	2	2
chr5	DMXL1	15	15	15
chr15	DMXL2	12	12	12
chr10	DNA2	5	5	5
chr3	DNAH1	9	9	9
chr17	DNAH2	14	14	14
chr16	DNAH3	20	20	20
chr5	DNAH5	42	42	42
chr2	DNAH7	30	30	30
chr6	DNAH8	73	73	73
chr17	DNAH9	73	73	73
chr12	DNAH10	8	8	8
chr7	DNAH11	80	80	80
chr3	DNAH12L	10	10	10
chr9	DNAI1	8	8	8
chr17	DNAI2	7	7	7
chr9	DNAJA1	5	5	5
chr16	DNAJA3	3	3	3
chr15	DNAJA4	2	2	2
chr9	DNAJB5	4	4	4
chr7	DNAJB6	17	17	17
chr22	DNAJB7	2	2	2
chr3	DNAJB8	3	3	3
chr7	DNAJB9	2	2	2
chr10	DNAJB12	8	8	8
chr11	DNAJB13	8	8	8
chr4	DNAJB14	5	5	5
chr10	DNAJC1	4	4	4
chr13	DNAJC3	12	12	12
chr11	DNAJC4	2	2	2
chr20	DNAJC5	3	3	3
chr8	DNAJC5B	9	9	9
chr1	DNAJC6	22	22	22
chr17	DNAJC7	5	5	5
chr1	DNAJC8	4	4	4
chr2	DNAJC10	5	5	5
chr1	DNAJC11	9	9	9
chr3	DNAJC13	31	31	31
chr12	DNAJC14	2	2	2
chr13	DNAJC15	12	12	12
chr1	DNAJC16	8	8	8
chr15	DNAJC17	6	6	6
chr5	DNAJC21	5	5	5
chr11	DNAJC24	4	4	4
chr9	DNAJC25	2	2	2
chr21	DNAJC28	3	3	3
chr14	DNAL1	17	17	17
chr22	DNAL4	5	5	5
chr1	DNALI1	2	2	2
chr3	DNASE1L3	3	3	3
chr19	DNASE2	2	2	2
chr5	DND1	2	2	2
chr2	DNER	74	74	74
chr11	DNHD1	2	2	2
chr2	DNHL1	8	8	8
chr9	DNM1	9	9	9
chr12	DNM1L	12	12	12
chr19	DNM2	6	6	6
chr1	DNM3	64	64	64
chr10	DNMBP	16	16	16
chr19	DNMT1	22	22	22
chr2	DNMT3A	15	15	15
chr20	DNMT3B	5	5	5
chr21	DNMT3L	7	7	7
chr10	DNTT	5	5	5
chr20	DNTTIP1	3	3	3
chr1	DNTTIP2	2	2	2
chr10	DOCK1	94	94	94
chr5	DOCK2	129	129	129
chr3	DOCK3	25	25	25
chr7	DOCK4	65	65	65
chr8	DOCK5	40	40	40
chr19	DOCK6	10	10	10
chr1	DOCK7	53	53	53
chr9	DOCK8	67	67	67
chr13	DOCK9	46	46	46
chr2	DOCK10	23	23	23
chr23	DOCK11	14	14	14
chr16	DOK4	4	4	4
chr20	DOK5	65	65	65
chr18	DOK6	92	92	92
chr4	DOK7	8	8	8
chr9	DOLPP1	4	4	4
chr6	DOM3Z	3	3	3
chr21	DONSON	2	2	2
chr6	DOPEY1	14	14	14
chr21	DOPEY2	34	34	34
chr19	DOT1L	7	7	7
chr11	DPAGT1	2	2	2
chr6	DPCR1	5	5	5
chr16	DPEP1	2	2	2
chr11	DPF2	3	3	3
chr14	DPF3	39	39	39
chr17	DPH1	3	3	3
chr3	DPH3	4	4	4
chr1	DPH5	6	6	6
chr20	DPM1	9	9	9
chr11	DPP3	2	2	2
chr2	DPP4	11	11	11
chr7	DPP6	163	163	163
chr15	DPP8	8	8	8
chr19	DPP9	13	13	13
chr2	DPP10	214	214	214
chr3	DPPA2	4	4	4
chr12	DPPA3	3	3	3
chr3	DPPA4	2	2	2
chr19	DPRX	2	2	2
chr1	DPT	3	3	3
chr7	DPY19L1	19	19	19
chr12	DPY19L2	15	15	15
chr19	DPY19L3	7	7	7
chr8	DPY19L4	8	8	8
chr1	DPYD	153	153	153
chr8	DPYS	10	10	10
chr8	DPYSL2	26	26	26
chr5	DPYSL3	13	13	13
chr10	DPYSL4	7	7	7
chr2	DPYSL5	10	10	10
chr1	DR1	2	2	2
chr12	DRAM	7	7	7
chr5	DRD1	2	2	2
chr11	DRD2	6	6	6
chr3	DRD3	9	9	9
chr22	DRG1	3	3	3
chr10	DRGX	5	5	5
chr23	DRP2	4	4	4
chr18	DSC1	6	6	6
chr18	DSC2	3	3	3
chr18	DSC3	6	6	6
chr21	DSCAM	173	173	173
chr11	DSCAML1	25	25	25
chr21	DSCR3	10	10	10
chr21	DSCR4	11	11	11
chr21	DSCR6	7	7	7
chr6	DSE	25	25	25
chr18	DSEL	2	2	2
chr18	DSG1	8	8	8
chr18	DSG2	6	6	6
chr18	DSG3	3	3	3
chr18	DSG4	11	11	11
chr20	DSN1	3	3	3
chr6	DSP	12	12	12
chr4	DSPP	3	3	3
chr6	DST	26	26	26
chr20	DSTN	4	4	4
chr20	DTD1	14	14	14
chr1	DTL	7	7	7
chr18	DTNA	18	18	18
chr2	DTNB	29	29	29
chr6	DTNBP1	20	20	20
chr15	DTWD1	5	5	5
chr5	DTWD2	12	12	12
chr7	DTX2	4	4	4
chr3	DTX3L	2	2	2
chr11	DTX4	6	6	6
chr17	DULLARD	2	2	2
chr15	DUOX1	3	3	3
chr15	DUOXA1	2	2	2
chr10	DUPD1	3	3	3
chr5	DUSP1	2	2	2
chr8	DUSP4	2	2	2
chr1	DUSP10	9	9	9
chr2	DUSP11	4	4	4
chr1	DUSP12	4	4	4
chr10	DUSP13	2	2	2
chr17	DUSP14	6	6	6
chr12	DUSP16	14	14	14
chr22	DUSP18	2	2	2
chr2	DUSP19	3	3	3
chr6	DUSP22	7	7	7
chr1	DUSP27	4	4	4
chr10	DUX4	5	5	5
chr1	DVL1	2	2	2
chr18	DYM	64	64	64
chr14	DYNC1H1	13	13	13
chr7	DYNC1I1	50	50	50
chr2	DYNC1I2	5	5	5
chr3	DYNC1LI1	4	4	4
chr16	DYNC1LI2	4	4	4
chr11	DYNC2H1	90	90	90
chr2	DYNC2LI1	4	4	4
chr12	DYNLL1	6	6	6
chr17	DYNLL2	4	4	4
chr20	DYNLRB1	2	2	2
chr16	DYNLRB2	2	2	2
chr6	DYNLT1	2	2	2
chr23	DYNLT3	2	2	2
chr21	DYRK1A	13	13	13
chr19	DYRK1B	6	6	6
chr12	DYRK2	2	2	2
chr1	DYRK3	5	5	5
chr12	DYRK4	7	7	7
chr2	DYSF	30	30	30
chr17	DYSFIP1	2	2	2
chr2	DYTN	6	6	6
chr15	DYX1C1	10	10	10
chr13	DZIP1	12	12	12
chr3	DZIP1L	5	5	5
chr3	DZIP3	13	13	13
chr20	E2F1	2	2	2
chr1	E2F2	3	3	3
chr6	E2F3	21	21	21
chr8	E2F5	3	3	3
chr2	E2F6	6	6	6
chr12	E2F7	5	5	5
chr11	E2F8	6	6	6
chr3	EAF1	3	3	3
chr3	EAF2	7	7	7
chr14	EAPP	9	9	9
chr16	EARS2	3	3	3
chr8	EBAG9	5	5	5
chr5	EBF1	44	44	44
chr8	EBF2	48	48	48
chr10	EBF3	27	27	27
chr20	EBF4	14	14	14
chr13	EBI2	10	10	10
chr19	EBI3	2	2	2
chr1	EBNA1BP2	2	2	2
chr13	EBPL	9	9	9
chr1	ECE1	3	3	3
chr3	ECE2	6	6	6
chr2	ECEL1	2	2	2
chr19	ECH1	5	5	5
chr6	ECHDC1	4	4	4
chr10	ECHDC3	7	7	7
chr10	ECHS1	2	2	2
chr9	ECM2	7	7	7
chr7	ECOP	11	11	11
chr3	ECT2	13	13	13
chr23	EDA	18	18	18
chr23	EDA2R	2	2	2
chr2	EDAR	15	15	15
chr1	EDARADD	12	12	12
chr15	EDC3	3	3	3
chr16	EDC4	2	2	2
chr3	EDEM1	2	2	2
chr20	EDEM2	4	4	4
chr1	EDEM3	8	8	8
chr9	EDF1	2	2	2
chr5	EDIL3	53	53	53
chr20	EDN3	8	8	8
chr4	EDNRA	7	7	7
chr13	EDNRB	21	21	21
chr12	EEA1	28	28	28
chr11	EED	5	5	5
chr20	EEF1A2	7	7	7
chr2	EEF1B2	2	2	2
chr8	EEF1D	2	2	2
chr11	EEF1G	3	3	3
chr16	EEF2K	6	6	6
chr3	EEFSEC	6	6	6
chr7	EEPD1	38	38	38
chr8	EFCAB1	2	2	2
chr17	EFCAB3	4	4	4
chr12	EFCAB4B	49	49	49
chr17	EFCAB5	18	18	18
chr22	EFCAB6	33	33	33
chr1	EFCAB7	10	10	10
chr2	EFEMP1	6	6	6
chr11	EFEMP2	3	3	3
chr13	EFHA1	21	21	21
chr8	EFHA2	17	17	17
chr3	EFHB	3	3	3
chr6	EFHC1	24	24	24
chr23	EFHC2	16	16	16
chr2	EFHD1	5	5	5
chr1	EFHD2	5	5	5
chr1	EFNA3	3	3	3
chr5	EFNA5	65	65	65
chr23	EFNB1	5	5	5
chr13	EFNB2	12	12	12
chr8	EFR3A	22	22	22
chr2	EFR3B	13	13	13
chr14	EFS	4	4	4
chr15	EFTUD1	22	22	22
chr17	EFTUD2	5	5	5
chr4	EGF	19	19	19
chr23	EGFL6	13	13	13
chr9	EGFL7	2	2	2
chr6	EGFL11	40	40	40
chr5	EGFLAM	48	48	48
chr7	EGFR	26	26	26
chr1	EGLN1	3	3	3
chr19	EGLN2	2	2	2
chr14	EGLN3	6	6	6
chr8	EGR3	3	3	3
chr2	EGR4	2	2	2
chr2	EHBP1	20	20	20
chr11	EHD1	2	2	2
chr19	EHD2	4	4	4
chr2	EHD3	5	5	5
chr15	EHD4	13	13	13
chr11	EHF	4	4	4
chr3	EHHADH	19	19	19
chr9	EHMT1	6	6	6
chr11	EI24	6	6	6
chr3	EIF2A	8	8	8
chr7	EIF2AK1	6	6	6
chr2	EIF2AK2	7	7	7
chr2	EIF2AK3	8	8	8
chr15	EIF2AK4	13	13	13
chr12	EIF2B1	2	2	2
chr14	EIF2B2	2	2	2
chr1	EIF2B3	7	7	7
chr3	EIF2B5	2	2	2
chr8	EIF2C2	15	15	15
chr14	EIF2S1	2	2	2
chr20	EIF2S2	3	3	3
chr23	EIF2S3	2	2	2
chr10	EIF3A	8	8	8
chr7	EIF3B	3	3	3
chr16	EIF3C	4	4	4
chr16	EIF3CL	4	4	4
chr22	EIF3D	4	4	4
chr8	EIF3E	5	5	5
chr22	EIF3EIP	9	9	9
chr11	EIF3F	6	6	6
chr19	EIF3G	2	2	2
chr8	EIF3H	4	4	4
chr15	EIF3J	2	2	2
chr19	EIF3K	6	6	6
chr11	EIF3M	2	2	2
chr17	EIF4A1	2	2	2
chr3	EIF4A2	3	3	3
chr17	EIF4A3	5	5	5
chr12	EIF4B	7	7	7
chr4	EIF4E	8	8	8
chr2	EIF4E2	5	5	5
chr3	EIF4E3	12	12	12
chr8	EIF4EBP1	3	3	3
chr10	EIF4EBP2	6	6	6
chr5	EIF4EBP3	2	2	2
chr22	EIF4ENIF1	4	4	4
chr3	EIF4G1	4	4	4
chr11	EIF4G2	4	4	4
chr1	EIF4G3	26	26	26
chr7	EIF4H	3	3	3
chr3	EIF5A2	4	4	4
chr10	EIF5AL1	5	5	5
chr2	EIF5B	10	10	10
chr20	EIF6	2	2	2
chr12	ELA1	2	2	2
chr19	ELA2	2	2	2
chr1	ELA2A	3	3	3
chr1	ELA2B	5	5	5
chr1	ELA3B	5	5	5
chr18	ELAC1	2	2	2
chr17	ELAC2	8	8	8
chr19	ELAVL1	3	3	3
chr9	ELAVL2	35	35	35
chr19	ELAVL3	3	3	3
chr13	ELF1	6	6	6
chr4	ELF2	13	13	13
chr1	ELF3	3	3	3
chr23	ELF4	3	3	3
chr11	ELF5	8	8	8
chr7	ELFN1	2	2	2
chr22	ELFN2	10	10	10
chr23	ELK1	2	2	2
chr12	ELK3	18	18	18
chr19	ELL	15	15	15
chr5	ELL2	9	9	9
chr7	ELMO1	143	143	143
chr20	ELMO2	3	3	3
chr16	ELMO3	3	3	3
chr11	ELMOD1	12	12	12
chr4	ELMOD2	2	2	2
chr7	ELN	6	6	6
chr6	ELOVL2	6	6	6
chr6	ELOVL4	6	6	6
chr6	ELOVL5	10	10	10
chr4	ELOVL6	31	31	31
chr5	ELOVL7	6	6	6
chr18	ELP2	3	3	3
chr8	ELP3	25	25	25
chr11	ELP4	12	12	12
chr1	ELTD1	19	19	19
chr5	EMB	4	4	4
chr4	EMCN	11	11	11
chr17	EME1	3	3	3
chr16	EME2	2	2	2
chr12	EMG1	2	2	2
chr22	EMID1	19	19	19
chr7	EMID2	17	17	17
chr18	EMILIN2	13	13	13
chr20	EMILIN3	3	3	3
chr14	EML1	30	30	30
chr19	EML2	3	3	3
chr11	EML3	2	2	2
chr2	EML4	29	29	29
chr14	EML5	14	14	14
chr12	EMP1	3	3	3
chr16	EMP2	5	5	5
chr19	EMR1	8	8	8
chr19	EMR2	14	14	14
chr19	EMR3	6	6	6
chr19	EMR4P	15	15	15
chr2	EMX1	2	2	2
chr10	EMX2	2	2	2
chr2	EN1	3	3	3
chr7	EN2	3	3	3
chr1	ENAH	27	27	27
chr4	ENAM	3	3	3
chr5	ENC1	10	10	10
chr11	ENDOD1	2	2	2
chr3	ENDOGL1	5	5	5
chr9	ENG	4	4	4
chr1	ENO1	3	3	3
chr12	ENO2	6	6	6
chr4	ENOPH1	10	10	10
chr18	ENOSF1	7	7	7
chr13	ENOX1	97	97	97
chr23	ENOX2	18	18	18
chr4	ENPEP	11	11	11
chr6	ENPP1	19	19	19
chr8	ENPP2	15	15	15
chr6	ENPP3	17	17	17
chr6	ENPP5	2	2	2
chr4	ENPP6	51	51	51
chr17	ENPP7	2	2	2
chr22	ENTHD1	20	20	20
chr10	ENTPD1	11	11	11
chr3	ENTPD3	3	3	3
chr8	ENTPD4	12	12	12
chr14	ENTPD5	3	3	3
chr20	ENTPD6	4	4	4
chr10	ENTPD7	4	4	4
chr8	ENY2	2	2	2
chr22	EP300	5	5	5
chr12	EP400	48	48	48
chr2	EPAS1	25	25	25
chr1	EPB41	15	15	15
chr20	EPB41L1	13	13	13
chr6	EPB41L2	30	30	30
chr18	EPB41L3	30	30	30
chr5	EPB41L4A	47	47	47
chr9	EPB41L4B	23	23	23
chr2	EPB41L5	5	5	5
chr8	EPB49	3	3	3
chr10	EPC1	8	8	8
chr2	EPC2	17	17	17
chr7	EPDR1	15	15	15
chr4	EPGN	2	2	2
chr1	EPHA2	8	8	8
chr3	EPHA3	20	20	20
chr2	EPHA4	28	28	28
chr4	EPHA5	36	36	36
chr3	EPHA6	101	101	101
chr6	EPHA7	29	29	29
chr1	EPHA8	4	4	4
chr1	EPHA10	6	6	6
chr3	EPHB1	19	19	19
chr1	EPHB2	29	29	29
chr7	EPHB4	2	2	2
chr7	EPHB6	3	3	3
chr8	EPHX2	11	11	11
chr6	EPM2A	3	3	3
chr17	EPN3	2	2	2
chr19	EPOR	2	2	2
chr1	EPRS	11	11	11
chr12	EPS8	22	22	22
chr11	EPS8L2	4	4	4
chr1	EPS15	7	7	7
chr19	EPS15L1	10	10	10
chr13	EPSTI1	11	11	11
chr17	EPX	2	2	2
chr12	EPYC	4	4	4
chr5	ERAP1	13	13	13
chr5	ERAP2	4	4	4
chr17	ERBB2	13	13	13
chr5	ERBB2IP	5	5	5
chr12	ERBB3	2	2	2
chr2	ERBB4	218	218	218
chr12	ERC1	58	58	58
chr3	ERC2	158	158	158
chr19	ERCC2	2	2	2
chr2	ERCC3	10	10	10
chr16	ERCC4	8	8	8
chr13	ERCC5	15	15	15
chr10	ERCC6	15	15	15
chr21	ERG	42	42	42
chr5	ERGIC1	39	39	39
chr12	ERGIC2	6	6	6
chr20	ERGIC3	2	2	2
chr14	ERH	2	2	2
chr8	ERICH1	12	12	12
chr10	ERLIN1	3	3	3
chr8	ERLIN2	4	4	4
chr1	ERMAP	2	2	2
chr9	ERMP1	3	3	3
chr17	ERN1	20	20	20
chr16	ERN2	2	2	2
chr14	ERO1L	10	10	10
chr1	ERO1LB	11	11	11
chr12	ERP27	4	4	4
chr1	ERRFI1	3	3	3
chr11	ESAM	2	2	2
chr8	ESCO2	3	3	3
chr13	ESD	7	7	7
chr20	ESF1	14	14	14
chr12	ESPL1	4	4	4
